province,gdp,pop,lon,lat
北京,43761,2186,116.4053,39.9050
天津,16737,1364,117.1902,39.1256
河北,43944,7393,114.5025,38.0455
山西,25698,3466,112.5492,37.8570
内蒙古,24627,2396,111.6708,40.8183
辽宁,30209,4182,123.4291,41.7968
吉林,13531,2339,125.3245,43.8868
黑龙江,15884,3062,126.6425,45.7570
上海,47219,2487,121.4726,31.2317
江苏,128222,8526,118.7674,32.0415
浙江,82553,6627,120.1536,30.2875
安徽,47051,6121,117.2830,31.8612
福建,54355,4183,119.3062,26.0753
江西,32200,4515,115.8922,28.6765
山东,92069,10123,117.0009,36.6758
河南,59132,9815,113.6654,34.7580
湖北,55804,5838,114.2986,30.5844
湖南,50013,6568,112.9823,28.1941
广东,135673,12706,113.2806,23.1252
广西,27202,5027,108.3200,22.8240
海南,7551,1043,110.3312,20.0320
重庆,30146,3191,106.5050,29.5332
四川,60133,8368,104.0657,30.6595
贵州,20913,3865,106.7135,26.5783
云南,30021,4673,102.7123,25.0406
西藏,2393,365,91.1322,29.6604
陕西,33786,3952,108.9480,34.2632
甘肃,11864,2465,103.8236,36.0580
青海,3799,594,101.7789,36.6232
宁夏,5315,729,106.2782,38.4664
新疆,19126,2598,87.6177,43.7928
台湾,53200,2342,121.5091,25.0443
香港,27000,750,114.1734,22.3200
澳门,3100,68,113.5491,22.1990
