province,gdp,lon,lat
北京,43760.7,116.4074,39.9042
天津,16737.3,117.1901,39.1256
河北,43944.1,114.5149,38.0428
山西,25698.2,112.5492,37.857
内蒙古,24627.2,111.751,40.8418
辽宁,30209.4,123.4291,41.7968
吉林,13531.2,125.3245,43.8868
黑龙江,15883.9,126.6425,45.7567
上海,47218.7,121.4737,31.2304
江苏,128222.2,118.7969,32.0603
浙江,82553.0,120.1551,30.2741
安徽,47050.6,117.2272,31.8206
福建,54355.1,119.2965,26.0745
江西,32200.1,115.8582,28.6829
山东,92068.7,117.02,36.6683
河南,59132.4,113.6254,34.7466
湖北,55803.6,114.3054,30.5931
湖南,50012.9,112.9388,28.2282
广东,135673.2,113.2644,23.1291
广西,27202.4,108.3275,22.8155
海南,7551.2,110.3492,20.0174
重庆,30145.8,106.5516,29.563
四川,60132.9,104.0665,30.5723
贵州,20913.3,106.6302,26.647
云南,30021.1,102.7146,25.0492
西藏,2392.7,91.1322,29.6604
陕西,33786.1,108.9398,34.3416
甘肃,11863.8,103.8236,36.058
青海,3799.1,101.7782,36.6171
宁夏,5314.9,106.2309,38.4872
新疆,19125.9,87.6168,43.8256
