id,name,type,city,lon,lat
1,购物中心,医院,北京,116.477113,39.714204
2,地铁1号线站,学校,北京,116.269005,39.998788
3,示例二中,医院,北京,116.452646,39.716913
4,地铁1号线站,医院,北京,116.27373,39.945007
5,滨江公园,医院,北京,116.51541,39.98473
6,示例一中,医院,北京,116.382005,39.815476
7,中心医院,医院,北京,116.50647,39.8403
8,示例二中,公园,北京,116.636007,39.838838
9,地铁2号线站,商场,上海,121.272058,31.369398
10,地铁1号线站,学校,上海,121.627264,31.322293
11,地铁1号线站,商场,上海,121.710258,31.181814
12,万象城,地铁站,上海,121.638402,31.277808
13,市人民医院,商场,上海,121.319844,31.058222
14,示例二中,公园,上海,121.716311,31.372527
15,万象城,医院,上海,121.362687,31.284674
16,购物中心,学校,上海,121.40879,31.114203
17,市人民医院,医院,广州,113.318966,22.997555
18,地铁1号线站,医院,广州,113.24553,23.037079
19,示例一中,医院,广州,113.356707,23.266241
20,滨江公园,商场,广州,113.425301,23.251118
21,地铁2号线站,商场,广州,113.047494,23.294354
22,人民公园,医院,广州,113.120713,23.128793
23,地铁1号线站,地铁站,广州,113.14684,23.027751
24,地铁2号线站,公园,广州,113.145771,23.162934
25,中心医院,地铁站,深圳,113.988898,22.74203
26,示例二中,医院,深圳,114.054658,22.645413
27,滨江公园,地铁站,深圳,114.121623,22.659932
28,人民公园,地铁站,深圳,113.839664,22.495748
29,示例一中,学校,深圳,113.933607,22.56439
30,购物中心,商场,深圳,114.148755,22.557888
31,人民公园,学校,深圳,113.863676,22.517006
32,购物中心,地铁站,深圳,114.284808,22.693441
33,示例二中,商场,成都,104.197481,30.575373
34,市人民医院,医院,成都,104.237335,30.575365
35,地铁1号线站,学校,成都,104.003457,30.43692
36,示例二中,商场,成都,104.115972,30.567742
37,购物中心,医院,成都,104.255861,30.704966
38,示例二中,学校,成都,103.845463,30.723504
39,地铁1号线站,医院,成都,104.182454,30.698709
40,地铁1号线站,医院,成都,103.880696,30.562413
