id,province,lon,lat,phase,damage,facility
1,北京,115.93241075522266,39.76921759102147,登陆,37.0,电网
2,北京,116.0098951761715,40.04860064680061,强降雨,47.9,道路
3,北京,115.93918267948177,39.66041714391696,洪涝,87.1,电网
4,天津,116.71663596968386,38.944902590411985,登陆,20.1,房屋
5,天津,117.27936568387591,39.3112582740067,强降雨,28.5,道路
6,天津,116.84975931637689,39.0791686388921,洪涝,53.2,农田
7,河北,114.97211307220678,37.94475672706758,登陆,45.5,道路
8,河北,114.37387938048462,37.94917343348738,强降雨,80.3,农田
9,河北,114.74463178669382,38.06453685487282,洪涝,142.1,房屋
10,山西,112.3423782814071,37.93418387969667,登陆,17.1,农田
11,山西,112.75377183621492,37.5844946301934,强降雨,33.9,电网
12,山西,113.03442152066076,38.07019063260909,洪涝,54.7,道路
13,内蒙古,111.70441030236844,41.04226625598445,登陆,18.8,电网
14,内蒙古,111.4605070307715,40.701986693229465,强降雨,29.9,道路
15,内蒙古,111.4221386481981,40.97927607877021,洪涝,49.3,电网
16,辽宁,123.19904782678428,42.05203470777273,登陆,35.7,电网
17,辽宁,123.77195192018982,41.962399946927746,强降雨,62.3,电网
18,辽宁,123.73414580077122,41.73749887221339,洪涝,98.2,道路
19,吉林,125.76740971433506,44.112620575883604,登陆,9.6,农田
20,吉林,125.32373125949228,44.11760989233202,强降雨,15.3,房屋
21,吉林,124.96413031952551,44.03379338925497,洪涝,22.3,农田
22,黑龙江,126.57093382729458,45.80681975496739,登陆,14.0,农田
23,黑龙江,127.14003760649511,45.762415776205884,强降雨,18.0,道路
24,黑龙江,127.00360290966667,45.54840479160896,洪涝,33.6,电网
25,上海,121.39585996679968,30.968516623691173,登陆,63.3,房屋
26,上海,121.44174988778467,31.08124847198909,强降雨,94.1,道路
27,上海,121.08825174298369,31.461273070077464,洪涝,145.8,农田
28,江苏,118.63707547303103,31.936400077188452,登陆,170.4,电网
29,江苏,119.25071592752107,32.285811764226914,强降雨,241.6,农田
30,江苏,119.05886219905206,32.06490900476259,洪涝,439.0,道路
31,浙江,119.95354479144864,30.357469696919605,登陆,113.7,电网
32,浙江,120.41761080007515,30.297727418071776,强降雨,136.5,道路
33,浙江,120.14370570802895,30.041220635192538,洪涝,247.2,农田
34,安徽,117.55886552936117,31.705108475241595,登陆,43.3,道路
35,安徽,117.2945569436889,31.56785422897482,强降雨,54.0,房屋
36,安徽,117.70518449367734,31.840223701717708,洪涝,101.8,电网
37,福建,119.27178237809872,26.104382156096968,登陆,55.5,农田
38,福建,119.40309391748262,26.353117743604475,强降雨,105.5,电网
39,福建,119.19549229999743,26.17751217578297,洪涝,169.9,农田
40,江西,115.87577584103559,28.45550251752096,登陆,25.1,电网
41,江西,115.37923426000705,28.715252913454687,强降雨,34.0,电网
42,江西,116.06604094654845,28.418224260125793,洪涝,49.6,道路
43,山东,117.37963540025375,36.410814409933195,登陆,128.4,电网
44,山东,117.00541449915049,36.691840358836856,强降雨,161.1,房屋
45,山东,116.99297294294459,36.612535976891564,洪涝,237.9,道路
46,河南,113.55645118240638,34.700747173811955,登陆,39.7,房屋
47,河南,113.17957118723217,34.83867329295948,强降雨,86.7,道路
48,河南,113.85361358844118,34.92695550651702,洪涝,93.6,道路
49,湖北,113.99560890844081,30.56226812869988,登陆,40.2,房屋
50,湖北,114.26802806840098,30.81779157244235,强降雨,62.4,道路
51,湖北,114.66674910476183,30.623295187469907,洪涝,104.7,道路
52,湖南,112.9793879381003,27.937054713897393,登陆,42.4,道路
53,湖南,113.2874957344143,28.02798666636235,强降雨,74.9,房屋
54,湖南,113.30345039403022,28.46966571930633,洪涝,95.3,电网
55,广东,113.74970884377971,22.988221834903293,登陆,154.9,房屋
56,广东,113.46099150360016,23.26740319044928,强降雨,238.1,房屋
57,广东,113.06110782549456,23.410325618981496,洪涝,336.8,道路
58,广西,107.88466527290748,22.866006556675384,登陆,35.9,电网
59,广西,108.33532849699341,23.026305527206475,强降雨,43.0,道路
60,广西,108.50271255360408,22.65662233700056,洪涝,81.3,道路
61,海南,110.41887541013818,20.064751434504323,登陆,10.7,道路
62,海南,110.26842491533587,20.067603373574734,强降雨,15.2,农田
63,海南,110.05345919942353,20.147115080473647,洪涝,25.5,电网
64,重庆,106.18247828212745,29.65030047330259,登陆,21.9,房屋
65,重庆,106.80346449241439,29.306525868695893,强降雨,35.7,房屋
66,重庆,106.61459364563893,29.322988749354753,洪涝,60.7,电网
67,四川,103.69895657036648,30.481705300978707,登陆,48.2,道路
